Id,DTADeltaDistance,DTASearchDistance,DTAThreshold,GammaDeltaDoseRatio,ReferenceDose,ReferenceDimensionIndex,GammaDeltaDistance,GammaSearchDistance,GammaThreshold,GammaDoseErrorModeIndex
CEC2496E-76FC-4F2E-902A-04FD6C1EDF47,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
74196587-7E04-4A55-8DD9-061B5741E9E4,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.1,0
5312C6F3-5287-484A-BF52-0677DC5EBF05,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
550ADE4A-2534-45E6-B8B9-06F8EE25B2F2,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
971ECA6D-E9C4-4257-BEDE-081DD03B9F86,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
77ADF78B-3B3C-4B71-9DD4-08A0207D3C51,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
AC6090CF-21DA-46B9-868F-08C62C32A7CC,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
19F3CE50-CCA8-4F60-96AF-0A13B690281F,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
F26783EF-7E54-4CCF-9465-0A39462052A1,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.05,0
64EDF839-323A-45AB-9BDB-0A5E84BAC909,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.05,0
94064052-C3C7-4FF6-8DF4-0AE61522E749,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
9C7996F2-17B9-42F0-B2BE-0B2F1ECA9438,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.05,0
E6C2EAF3-1F96-43A9-868A-0BC6190A2293,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
2994BEC8-3A56-44E5-B7E8-0C07536F3410,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
8ECFE353-03E6-4801-865D-0C99F89939B7,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
C0F95BCC-C4E4-441E-858B-0CADBD26DFDC,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
762CBC17-0CF4-4FF0-962C-0CE113863B30,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
1BB516A3-C317-460C-B0B9-0D135B373578,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.05,0
D498B7F5-8057-47BC-AE68-0D5296628C7B,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
116644FE-F41E-4718-9872-0DD567869198,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
C0AFDAB7-98E0-4C38-AA38-0DDF725FF816,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
29D0AD7C-39BB-4E57-8702-0E0EA83616CC,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
127CF7C7-D9C2-4896-A879-0E0EDF8AB1D7,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
A613F9FA-9115-4F3B-AAC2-0E81865DF96D,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
8346784C-91F7-4A88-9171-0F278018E544,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
565D6DF8-D9D5-421C-B066-101E9C4D34AA,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
08B5A718-6F34-41C6-A244-106E778959D2,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
E94CC7D8-29B8-46F8-8082-11054746BC96,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
09B94FEB-5DEB-413B-B022-1105AFC1C7DA,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
2F9BE56A-29CA-44E5-8ABF-1109B68FC3BC,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
04EFEBC9-BD07-4C9B-926B-11B6F2FC6A0B,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
7DC16826-8787-4F1C-A16E-11D34D4DE641,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
9C934C93-060D-4D13-A4B9-120033C0A30C,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
5CD7472B-42DC-4230-A7E7-13716C0DD6F8,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
C72DD3F9-7C5F-46AE-BFFB-1456B1514199,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
8F3B51EA-9D9F-4899-A33B-14BFEA945E49,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
D98A0A79-98D5-40CB-AC19-152BED994529,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
80739386-953D-4D1B-8E45-155DA00550F2,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.05,0
18E20A1E-34C8-427F-B00B-164803F8E999,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
55D479A0-0A92-491D-9DA9-1673D08759B6,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
5B9F6963-5418-4429-AFD7-16BB2DFCCE8F,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
95A4BF4F-58D3-4EAC-9F53-179A4DCD9066,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
6011EFEF-755B-4882-856F-17A40EB1B0FA,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
97A51966-B8DD-4740-8B42-188C129CBCF2,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
0F1ADBFB-E114-49C5-BFE3-191A1E5B65F5,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
3F9CE7F2-78B6-43BA-98C0-19ABBCA19CD3,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
66C81426-B061-4931-B29A-1A58DE1B503B,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
82DBF090-1CC2-4A83-AA46-1B37C8ACEA2B,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
AB66120E-9AA3-4941-B5BA-1B921D60E3A2,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
FDF2BD98-6004-47D4-9448-1BC067A6C23E,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
8B6D1DD8-F44A-4B1E-B2EB-1C101E276372,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
FC995346-27E8-4A6F-8859-1C79FF4ED997,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
096D7138-7290-422A-B752-1CDB1BEAD306,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
12C062DD-83D4-437F-B9D9-1D20850564B0,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
D29BEA9C-87A6-48FA-BE6D-1D6974E0751D,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
0D7B5F30-B854-4D11-9EB7-1F6BAF928A91,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
265F9645-206D-4770-9D51-204F616C4F7A,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
33A3B7B5-965A-419D-81A0-209F6AB8E74F,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
37D878D1-1025-4CB6-AF0C-20C3AAEA712B,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
3D47A39A-CC8D-4880-8C45-20DDBB13E379,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.05,0
C694CBA9-0175-404A-A7DB-20E2080C24A5,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
89D90C91-7C4B-4361-8543-20F25D2786A8,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
814297E7-7F50-4FD2-BB8A-2158AFD10ADD,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
DC622395-EA02-481E-9F4C-217D0261BC08,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
7B676B52-7AE8-4AB5-8AC6-21B8E255C275,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
60CBF287-6BDD-40D0-A9C0-21CC4BBA2149,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
B352E086-1D92-4DDF-AC6C-21E391D19792,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
1688C9E2-115D-434D-8D53-2219F839A62F,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
38659FE5-7E69-4F94-BC54-227C52E58CED,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
CFCE34DC-B486-4FCC-8116-2317AC893DF6,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.05,0
2DD95D28-678E-4C21-B2AA-232A492BE6A9,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
DA92B4E4-CB2A-45EE-9497-24059F2BB60A,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
854249F5-B1DD-4090-88E3-26AD95BA1768,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
D1161903-37A4-487E-9C58-271368659433,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
F44FFE2C-52A8-4D52-8BF2-27B2666EF30B,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
9F439A76-1E5C-40F9-8249-27DC4FD71696,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
CD90AB5F-201A-4B64-B7F5-280E2DEAC48E,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
B1729722-87D4-4815-9D54-284B3187D334,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
F08FF7A9-C361-4CB2-B9C8-28A432B9963E,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
A6978E52-8244-4021-9FB1-28E1B43740AB,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
CAA8DC87-F90D-4DAA-83F5-28E9A4A9E1DA,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
AAEC9394-6D9E-46CD-B286-299207CC17E6,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
1A16AC76-4C58-49DF-A47B-2AA680158A79,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.1,0
88F3C6A3-38C0-451C-80D4-2AE77307AA88,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
82EA524A-42B1-4137-8DA9-2B161BA004B3,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
FD51A362-C0AF-477A-9847-2C12972DC496,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
A1BE2534-5EAA-46CE-AB9C-2D38F13B7D36,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
96027C20-E526-41CB-B4EA-2D5C95171967,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
E2D75E98-7128-413C-9298-2DEE59334B68,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
96A56E6B-676C-4F81-A3CF-2DF7D69E1C3A,3.0,4.5,0.1,0.05,0.0,4,1.0,4.5,0.1,0
97044913-4C92-4FF9-AAF1-2E415F41C784,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
C114FD64-E9A7-427A-BE24-2EB3ED91EA5B,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
C9C9F73B-DE40-4CB6-984C-2EFBCD76B78F,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
19B78A11-238A-4B99-8DF7-2F525579319F,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.1,0
DA74855F-7E78-457F-A290-300AFAC28AAD,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
4BE622C5-84E4-49CD-9223-304B73E0260D,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
86D42820-AD8F-4615-9EC8-307E52E05D90,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
427FE3E7-5FB9-4EA6-A98E-32DF8ADB7C01,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
CB646D19-A57A-4D6A-9BAC-336998CC50A1,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,1
5F3E9A69-11F2-4E19-AFE7-340208B79D0A,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
F9F932C7-4D86-47D1-8917-340CC18407E0,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
8534AC67-4182-430F-80B8-341F57196C5C,3.0,4.5,0.1,0.05,0.0,4,1.0,4.5,0.1,0
B0737B52-A011-4C07-96A2-349578144EE8,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
306D61B0-C720-49D9-BF00-34B13C89D4A9,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
10B6E297-0736-4FB0-91C7-351C530E3A35,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
C111917C-C140-480E-91C7-35E00251CE83,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
9086806D-D484-4206-8660-36DE955BF6E6,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
73D63A8A-56CF-4C5A-A579-36E9E5C660E9,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
57519C5F-BD29-48C2-9F71-376B02EE7639,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
12C67B15-C53A-4C8B-8E82-384AF55274E1,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
BDD4D99F-0497-400F-A0F1-38C4F968D4D3,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
1E921394-FA07-4B94-A38A-38F317F396E0,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
5E69D67C-37B4-435C-9265-39E3FD8B9194,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
B81AC3C8-692A-4007-B746-39F4E0428243,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.05,0
BD330DE1-1192-4D39-B826-3A3CB045D037,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
4A320C03-84D6-4B28-BA15-3AC975FA7BEF,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
250255E5-EE40-40F2-83AD-3BB30607CB71,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
18535A35-7BA5-483D-BA74-3BB90AFD2024,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.05,0
FCC2F66A-D4DF-4893-9168-3BDE9379E4B4,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
1153D09F-E550-4D0A-BAA8-3C6A617DC7FF,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
555AA56B-0E26-4657-88A1-3DF21E6D9104,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
8D20C769-01CD-4679-B4AD-3DFE977B1743,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
8DB2A2F5-30E5-4DE5-BF58-3F2D6FF61DB8,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
344232F9-AC4A-4897-BE61-404AC90A85DE,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
F844B50B-6255-49E0-AD3B-40D9C70BCBEF,3.0,4.5,0.1,0.02,0.0,4,1.0,4.5,0.05,0
49B403A7-F992-41A4-9B6F-410D175C9EAB,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.1,0
F5162D27-061D-4E8D-AAAF-4115FA1F3D76,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
3A2D13F7-20BD-41B2-94E6-4162172053DB,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
42209C72-6B01-4FA4-B240-41A0958C01AB,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.05,0
2B1B8D0E-64BD-41ED-9FEF-41BD18597F0A,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
AE936467-402A-4076-801D-41C1F6B9F850,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
1BDA9C4E-31D0-485F-8E9A-41EC80AD1927,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
06B4FA9C-5120-464D-AA93-42AC30C952FC,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
59E7F73A-C314-4C16-9F5B-433939FEABE9,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
E1653B0C-99A2-4350-913C-433E393AFBA4,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
53675930-77DE-49C2-B7E6-4399DDF9DE09,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
908659C6-2604-4F31-8E5F-4469B902F0B5,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
57C23ADA-B31D-4249-8926-448441339B2C,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
6E8674FF-8B0D-472E-84B0-4484E08BA463,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
3135EA14-FB66-4E51-A913-4497868459D3,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
A8B9CAB3-BF85-4EC1-BA65-44BB28F2569A,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
5EAA09F0-1950-4D90-9321-4509647AB732,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
CF891B2C-615B-4FB6-A40A-457CC0F12E6B,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.05,0
8D872E06-197C-4A62-95E8-45AEB5A752FC,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
6C0CECB7-CDC9-456D-B7A5-45B31F5C35E9,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
7FD1559B-A366-4941-ACED-45D48C72C01C,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
8DA061CA-0983-46AD-A616-461139F7AC42,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
1B249DAE-38E2-4CD7-B720-46B9AD2413E7,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
C092D5FA-DD1C-4BAF-99F8-475A23B47049,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
69C01DAB-BEE4-4346-A125-479788550146,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
B2F267A2-6107-472E-82B5-48B6C5A8BAE1,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
95188984-C3D1-4BCD-AC33-4930652D15AC,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
5149C1D9-B438-4B00-A5AD-49882DF38068,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
F314E051-DD57-4F98-9D89-498DDBFC5C2C,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
E11A4868-89C8-4462-999F-499CBCD6D97B,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
777E6AD8-FE6E-4EEF-A87B-49B663906304,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.05,0
41C611DE-BB3A-47AC-BC32-49D5CED24DB7,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
7D012E9F-16C9-4821-BDF3-4A30F2F11D9E,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
8473AE4D-41DD-4D2A-BC2D-4A494147A8C8,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
FC0EE929-E291-4EC8-9B51-4A9F196E177F,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
3FCAFA8E-5EA3-4453-9207-4A9F50913E1F,3.0,4.5,0.1,0.03,0.0,0,3.0,4.5,0.1,0
A048EF8D-0F59-45CC-932D-4AE0F2555B06,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
4ABC9A22-21A0-4CC2-8CFF-4BA3F343764F,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
4C30A2FD-FE22-4BC2-9416-4C277302172D,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
69354CD7-0056-4983-9386-4CA64E295D34,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
FE23CDF2-DD4A-46CE-9BB1-4CE3056B241D,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
9C6C3AA6-0027-4B54-99E8-4DDD54A47248,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
DA527712-4482-44E5-9BD1-4E8641395575,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
E4B06CD7-BF35-4474-A7D1-4EDE2845166B,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
D30151FE-6A51-4ACF-B574-4EED6C430492,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
D93993AA-94F7-42D7-B3AA-4F90A3784C6D,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.05,0
0035E329-6CE3-47A8-A908-4FD07F5B2966,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
5BC3E8DB-A1EE-4F76-AD62-505F0719C098,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.05,0
549A76EB-8115-480B-89E8-509DCE286D1D,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
FD09E7D1-867D-4057-8491-515A867C421F,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
C87CF1AA-0E6C-4C3C-A3E6-51AE73262F61,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.05,0
1B5706BB-E412-4CC8-A801-51C344F2B58F,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
DB0A3382-A342-4DF1-B791-51D7C9DF9FF8,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
95321719-5334-4616-822B-52285C86F1F8,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
A22BC9CB-CB22-4FD6-9B76-5230471E40E8,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.05,0
4CDA5939-20BA-4BD2-835D-52D6B2540C4B,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
C63D67C6-D65C-4431-8D56-5361FAB9B750,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
A72DDD09-B8DF-4564-A30C-53E0CD5CD3F4,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.05,0
CE589FF4-362A-4790-8FAF-53F24708D5DD,3.0,4.5,0.05,0.03,0.0,4,3.0,4.5,0.1,0
353A4827-8DFF-48D6-878E-544CD3C62552,3.0,4.5,0.05,0.03,0.0,4,1.0,4.5,0.1,0
E518F8F9-8F6D-4A54-9B84-548341CCFD6E,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
355DE97F-1B13-471C-B519-54B4EA26F831,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.05,0
55576649-D5E5-46DD-96BE-5540620707B4,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
BDF5244B-EEFC-40CE-B436-5620D9D4E537,3.0,4.5,0.1,0.03,0.0,4,2.0,4.5,0.1,0
FC15E49A-D0FB-4371-AEE3-56E4828F7987,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
6AC8AF3E-000B-44E0-BB9C-56FA6F90CC21,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
5064670C-B750-406B-A530-570BCEB268D3,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
7C02227B-45FE-4156-9008-5736B95CC563,3.0,4.5,0.05,0.02,0.0,4,2.0,4.5,0.1,0
B45736AD-A04B-461A-B28A-58C339577049,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.05,0
7423A28F-201B-48E2-A9F0-58D8657F5C75,3.0,4.5,0.1,0.03,0.0,4,1.0,4.5,0.1,0
75C2CB7D-082C-455D-8348-596921635326,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
6A02AFC9-291D-4B72-AB0D-59AF5BFD80FC,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
886C1315-652E-4E61-A582-59E989E4F629,3.0,4.5,0.1,0.05,0.0,4,1.0,4.5,0.1,0
D9CD81FA-8B41-4A4C-8484-5A62BA340285,3.0,4.5,0.1,0.03,0.0,4,3.0,4.5,0.1,0
94204BB4-BDEF-416F-9E54-5AD918972D15,3.0,4.5,0.1,0.02,0.0,4,2.0,4.5,0.1,0
